molecule_chembl_id,Smiles,pIC50,bioactivity_class
CHEMBL3404003,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2OC(=O)N(C)Cc2nc3ccccc3s2)C(C)C)ccc1OC,7.523,1
CHEMBL3403999,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2OC(=O)NCc2ccco2)C(C)C)ccc1OC,7.046,1
CHEMBL4109808,COCCCOc1ccc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)cc1OCCCOC,7.469,1
CHEMBL557193,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C.Cl,9.0,1
CHEMBL4114302,COC(=O)NCCCn1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2cccnc21,8.444,1
CHEMBL536982,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCSCC2)C(C)C)ccc1OC.Cl,8.0,1
CHEMBL558370,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(C(C)(C)C)c(OCC(=O)OC)c1)C(C)C.Cl,8.222,1
CHEMBL4127686,COCCCCc1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)cnn1-c1ccccc1,8.886,1
CHEMBL2387566,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2.O=C(O)/C=C/C(=O)O,8.886,1
CHEMBL558576,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(N)=O)C(C)C)C(C)C)ccc1OC.Cl,8.0,1
CHEMBL31479,COc1ccc(CO[C@H]2CNCC[C@@H]2c2ccc(Cl)cc2)cc1,4.602,0
CHEMBL505635,Cc1cc(Cl)c(OCCOc2ncc(C3=C(C(=O)N(Cc4cccc(C)c4C)C4CC4)[C@H]4CNC[C@@H](C3)N4)s2)c(Cl)c1,7.638,1
CHEMBL3318931,Cc1ccc(S(=O)(=O)N[C@@H]2CNC[C@H](C(=O)N(Cc3cccc(Cl)c3Cl)C3CC3)C2)cc1,5.585,0
CHEMBL508205,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(C)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,9.796,1
